
2025/02/04 (02:09:43) | ===> btop++ v.1.4.0
2025/02/04 (02:09:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/04 (02:09:43) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/04 (02:10:17) | WARNING: Failed to join _runner thread on exit!

2025/02/04 (19:31:24) | ===> btop++ v.1.4.0
2025/02/04 (19:31:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/04 (19:31:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (21:02:20) | ===> btop++ v.1.4.0
2025/02/05 (21:02:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/05 (21:02:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (06:14:13) | ===> btop++ v.1.4.0
2025/02/07 (06:14:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/07 (06:14:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (09:15:46) | ===> btop++ v.1.4.0
2025/02/15 (09:15:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/15 (09:15:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (22:32:16) | ===> btop++ v.1.4.0
2025/02/21 (22:32:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/21 (22:32:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (23:32:11) | ===> btop++ v.1.4.0
2025/02/22 (23:32:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/22 (23:32:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (18:15:05) | ===> btop++ v.1.4.0
2025/03/02 (18:15:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (18:15:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (20:19:11) | ===> btop++ v.1.4.0
2025/03/10 (20:19:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/10 (20:19:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (22:38:57) | ===> btop++ v.1.4.0
2025/03/16 (22:38:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/16 (22:38:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (21:54:49) | ===> btop++ v.1.4.0
2025/03/21 (21:54:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (21:54:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (23:04:03) | ===> btop++ v.1.4.0
2025/03/25 (23:04:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/25 (23:04:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/06 (06:51:05) | ===> btop++ v.1.4.0
2025/04/06 (06:51:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/06 (06:51:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (08:05:16) | ===> btop++ v.1.4.0
2025/04/10 (08:05:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/10 (08:05:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (20:36:18) | ===> btop++ v.1.4.0
2025/04/10 (20:36:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/10 (20:36:18) | WARNING: Intel GPU: Failed to initialize PMU
